category,seed_keyword,landing_angle,risk_note
審査不安,専業主婦 お金 借りる,審査の現実・申込条件・正規業者の範囲を解説して比較へ誘導,誇大表現・違法業者誘導に注意。審査なし/必ず系は否定・注意喚起型で扱う
在籍確認・バレたくない,在籍確認なし,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,在籍確認なし 借入,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,電話なし 借入,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,職場 電話なし 借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,会社にバレずに借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,家族にバレずに借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,誰にもバレずに借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,郵送物なし 借入,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,明細 郵送なし 借入,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,WEB完結 融資,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,スマホで借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,アプリで借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,来店不要 融資,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,本人確認だけで借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,収入証明なし 借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
在籍確認・バレたくない,源泉徴収票なし 借りる,WEB完結・郵送物・在籍確認条件の比較へ誘導,在籍確認なしは条件付き表現にする
消費者金融・キャッシング,消費者金融,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,消費者金融 おすすめ,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,消費者金融 比較,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,消費者金融 即日,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,消費者金融 審査,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,消費者金融 金利,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,大手消費者金融,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,中小消費者金融,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング おすすめ,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング 即日,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング 審査,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング 金利,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング 比較,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング とは,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,キャッシング 審査 甘い,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,クレジットカード キャッシング,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,クレカ キャッシング,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,銀行 キャッシング,カードローンとの違い・正規業者比較・即日性比較へ誘導,
消費者金融・キャッシング,スマホ キャッシング,カードローンとの違い・正規業者比較・即日性比較へ誘導,
金利・返済,低金利 借入,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,金利 安い 借入,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,利息 安い 借入,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,無利息 借入,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,無利息 融資,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,初回無利息,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,30日間 無利息,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,利息なし 借りる,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,返済額 シミュレーション,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,借入 返済 シミュレーション,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,毎月 返済 いくら,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,10万円 借りたら 利息,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,20万円 借りたら 利息,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,50万円 借りたら 利息,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,年利 とは,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,実質年率 とは,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,利息 計算 借入,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,繰り上げ返済 借入,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,一括返済 借入,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,返済 遅れそう,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
金利・返済,返済できない 相談,低金利・無利息期間・返済シミュレーションから商品比較へ誘導,
借り換え・一本化,借り換え ローン,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,借り換え 借入,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,おまとめローン,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,借金 一本化,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,借入 一本化,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,複数借入 まとめる,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,返済 一本化,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,金利 下げたい 借入,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,毎月返済 減らす,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,借金 減らしたい,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,リボ払い 借り換え,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,クレジット 返済 きつい,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,消費者金融 借り換え,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,銀行 借り換え ローン,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,おまとめ 審査,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
借り換え・一本化,おまとめ 低金利,借り換え可否・総返済額・おまとめ対象から比較へ誘導,
支払い困りごと,家賃 払えない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,家賃 足りない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,携帯代 払えない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,クレジットカード 払えない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,クレカ 支払い 遅れそう,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,税金 払えない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,車検 お金ない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,医療費 払えない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,引越し費用 足りない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,冠婚葬祭 お金ない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,教育費 足りない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,急な修理費 払えない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,旅行代 足りない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,ボーナスまで お金ない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,給料日まで お金ない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,生活費 足りない 対処,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,お金ない どうする,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
支払い困りごと,支払い 間に合わない,支払い優先順位・借入以外の選択肢・正規借入比較へ誘導,生活困窮系は煽らず相談窓口も併記
銀行・ローン一般,フリーローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,フリーローン おすすめ,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,フリーローン 比較,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,フリーローン 金利,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,フリーローン 審査,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,多目的ローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,目的別ローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,銀行ローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,銀行 融資 個人,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,個人向け融資,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,個人ローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,ローン おすすめ,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,ローン 比較,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,ローン 審査,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,ローン 金利,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,ネット銀行 ローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,地方銀行 ローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,信用金庫 ローン,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,ゆうちょ 融資,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
銀行・ローン一般,銀行 借入 個人,フリーローンとの違い・用途自由性・審査スピード比較へ誘導,
属性別,会社員 お金借りる,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,公務員 お金借りる,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,派遣社員 お金借りる,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,契約社員 お金借りる,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,アルバイト 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,パート 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,学生 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,主婦 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,専業主婦 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,年金受給者 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,自営業 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,個人事業主 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,フリーランス 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,無職 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,新社会人 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,20代 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,30代 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,40代 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,50代 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
属性別,60代 借入,属性別の申込条件・必要書類・審査注意点へ誘導,
ブランド・サービス隣接,プロミス,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,プロミス 審査,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,プロミス 即日,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,プロミス 金利,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,アコム,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,アコム 審査,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,アコム 即日,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,アコム 金利,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,アイフル,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,アイフル 審査,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,アイフル 即日,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,レイク,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,レイク 審査,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,レイク 無利息,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,SMBCモビット,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,モビット 審査,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,オリックス マネー,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,LINEポケットマネー,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,メルペイスマートマネー,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,dスマホローン,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,au PAY スマートローン,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
ブランド・サービス隣接,ファミペイローン,サービス名検索から比較・評判・申込条件へ誘導,商標比較は公式情報・広告表現に注意
避ける・注意喚起,闇金 借りてしまった,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,ソフト闇金,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,個人間融資,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,SNS 融資,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,Twitter 融資,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,審査なし 融資 口コミ,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,先払い買取 現金化,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,後払い現金化,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,クレジットカード 現金化,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,給料ファクタリング,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,ファクタリング 個人,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,違法金融 見分け方,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,貸金業登録 確認,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,金融庁 違法業者,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
避ける・注意喚起,日本貸金業協会 相談,危険な借入回避・正規サービスへの代替導線,収益化より注意喚起寄り。違法手段を推奨しない
